Date,Open,High,Low,Close,Volume,Adj Close
2009-07-06,30.29,30.39,28.50,29.67,18482000,26.68614
2009-06-29,32.60,33.32,30.90,31.01,14539300,27.62155
2009-06-22,31.70,32.55,30.61,32.25,18222400,28.72605
2009-06-15,33.50,33.70,31.73,31.95,17414100,28.45883
2009-06-08,33.56,34.33,33.30,33.95,17328500,30.2403
2009-06-01,35.29,35.40,32.85,33.98,22216600,30.26702
2009-05-25,32.78,35.20,32.62,34.45,19306100,30.68566
2009-05-18,31.40,33.65,31.16,32.87,20563200,29.27831
2009-05-11,32.35,33.41,31.03,31.30,19592800,27.87986
2009-05-04,31.38,33.04,30.15,33.00,27972500,29.3941
2009-04-27,28.98,30.27,28.15,29.54,21242100,26.31217
2009-04-20,29.00,29.69,28.46,29.31,19408200,26.10731
2009-04-13,30.89,31.32,29.47,29.52,21930900,26.29436
2009-04-06,30.14,30.90,29.51,30.84,20823700,27.47012
2009-03-30,28.85,30.88,27.95,30.40,23397900,26.75957
2009-03-23,29.92,31.05,29.28,29.60,23773500,26.05537
2009-03-16,27.30,30.22,26.80,29.10,27443200,25.61525
2009-03-09,25.15,27.99,25.11,27.70,28153300,24.3829
2009-03-02,25.95,26.89,24.25,25.67,30457200,22.59599
2009-02-25,25.30,27.34,25.30,26.40,22496000,23.23857
2009-02-16,27.60,27.92,25.23,25.78,23030000,22.69282
2009-02-09,27.01,28.15,26.08,27.60,27138800,24.29487
2009-02-02,24.55,27.29,24.51,27.10,25761500,23.85475
2009-01-26,23.39,25.79,23.25,25.03,22886700,22.03263
2009-01-19,24.34,24.55,22.73,23.59,20105600,20.76508
2009-01-12,24.74,24.94,22.52,24.28,27546700,21.37245
2009-01-05,24.38,25.98,23.84,25.40,22772100,22.35833
2008-12-29,22.32,24.57,22.10,24.54,15968700,21.60131
2008-12-22,23.50,23.81,21.84,22.80,14520600,19.71775
2008-12-15,23.13,24.75,22.61,23.35,30891500,20.1934
2008-12-08,19.15,23.48,19.06,22.60,42538900,19.54479
